Product (English),Minimum Qty / Pack,"Dumartarai Mandi
01-08-2026","Kumhari Mandi
01-08-2026","Kumhari Mandi
02-08-2026","Kumhari Mandi
04-08-2026","Kumhari Mandi
05-08-2026","Kumhari Mandi
06-08-2026","Sastri Mandi
07-08-2026","Kumhari Mandi
08-08-2026","Kumhari Mandi
09-08-2026","Kumhari Mandi
11-08-2026","Kumhari Mandi
12-08-2026","Kumhari Mandi
13-08-2026","Kumhari Mandi
14-08-2026","Kumhari Mandi
16-08-2026","Kumhari Mandi
18-08-2026","Kumhari Mandi
19-08-2026","Kumhari Mandi
20-08-2026",,,,,,,,,,,,,,,
Green Chilli,10 kg,?120/kg,?70/kg,?85/kg,?70/kg,?60/kg,?50,?40,?50,65,45,50,45,40,60,50,40,45,,,,,,,,,,,,,,,
Hill Potato (West Bengal),50 kg,?10/kg,—,?9/kg,?10/kg,?11,?10,?11,?10,10,11,11,11,10,10,11,12,9,,,,,,,,,,,,,,,
Kundru (Ivy Gourd),20 kg,—,?23/kg,?25/kg,?20/kg,?22,?20,?22,?20,20,20,22,30,27,20,-,35,27,,,,,,,,,,,,,,,
Ladyfinger (Okra/Bhindi),15 kg,—,?36/kg,?40/kg,?28/kg,?31,?27,?28,?25,32,30,32,30,35,18,24,27,32,,,,,,,,,,,,,,,
Large Green Chilli,10 kg,?400,?250,-,300/-,-,?280,-,-,15,30,40,-,30,-,30,25,32,,,,,,,,,,,,,,,
Lemon,500pcs,—,—,-,-,?800,-,-,-,-,-,-,-,200/100pcs,200/100pcs,300/100PCS ,-,-,,,,,,,,,,,,,,,
Onion,50 kg,?27/kg,—,?28/kg,?30/kg,?28, ?27,?30,?28,27,30,30,32,28,30,34,32,36,,,,,,,,,,,,,,,
Pointed Gourd (Parwal),20 kg,?32/kg,—,?45/kg,?57/kg,?65,?68,-,?68,80,70,-,-,55,60,-,-,-,,,,,,,,,,,,,,,
Pumpkin,15 kg,?13/kg,?8,?13,?11,?8,?6,?12,?7,6,6,8,5,4,8,6,10,8,,,,,,,,,,,,,,,
Purple Brinjal (Eggplant),14 kg,?450,—,?36/kg/18kg,?32,?24,?30,?28,?15,22,20,26,28,22,15,14,11,16,,,,,,,,,,,,,,,
